Colony,Distance,Mass,Headwidth,Headwidth..mm.,Size.class
2,1,158,47.000,1.979,>43
2,1,67,36.000,1.516,35-39
2,1,114,42.000,1.768,40-43
2,1,62,35.000,1.474,35-39
2,1,67,36.000,1.516,35-39
2,1,121,45.000,1.895,>43
2,1,47,33.000,1.389,30-34
2,1,82,37.000,1.558,35-39
2,1,79,38.000,1.6,35-39
2,1,119,46.000,1.937,>43
2,1,111,41.000,1.726,40-43
2,1,47,32.000,1.347,30-34
2,1,75,39.000,1.642,35-39
2,1,60,35.000,1.474,35-39
2,1,104,45.000,1.895,>43
2,4,133,46.000,1.937,>43
2,4,134,47.000,1.979,>43
2,4,73,44.000,1.853,>43
2,4,121,44.000,1.853,>43
2,4,73,39.000,1.642,35-39
2,4,86,42.000,1.768,40-43
2,4,63,40.000,1.684,40-43
2,4,84,41.000,1.726,40-43
2,4,129,46.000,1.937,>43
2,4,106,45.000,1.895,>43
2,4,90,40.000,1.684,40-43
2,4,62,38.000,1.6,35-39
2,4,70,39.000,1.642,35-39
2,4,86,44.000,1.853,>43
2,4,99,42.000,1.768,40-43
2,4,50,36.000,1.516,35-39
2,4,133,47.000,1.979,>43
2,4,74,43.000,1.811,40-43
2,4,140,47.000,1.979,>43
2,4,77,37.000,1.558,35-39
2,4,137,46.000,1.937,>43
2,4,94,39.000,1.642,35-39
2,7,79,39.000,1.642,35-39
2,7,105,42.000,1.768,40-43
2,7,104,42.000,1.768,40-43
2,7,99,43.000,1.811,40-43
2,7,67,35.000,1.474,35-39
2,7,129,46.000,1.937,>43
2,7,97,37.000,1.558,35-39
2,7,126,45.000,1.895,>43
2,7,152,46.000,1.937,>43
2,7,67,34.000,1.432,30-34
2,7,60,34.000,1.432,30-34
2,7,94,40.000,1.684,40-43
2,7,128,46.000,1.937,>43
2,7,101,43.000,1.811,40-43
2,7,44,31.000,1.305,30-34
2,7,119,45.000,1.895,>43
2,7,117,45.000,1.895,>43
2,7,80,40.000,1.684,40-43
2,7,78,39.000,1.642,35-39
2,7,54,31.000,1.305,30-34
2,7,99,45.000,1.895,>43
2,10,137,44.000,1.853,>43
2,10,120,42.000,1.768,40-43
2,10,107,42.000,1.768,40-43
2,10,98,43.000,1.811,40-43
2,10,97,45.000,1.895,>43
2,10,55,43.000,1.811,40-43
2,10,96,40.000,1.684,40-43
2,10,118,43.000,1.811,40-43
2,10,73,39.000,1.642,35-39
2,10,102,43.000,1.811,40-43
2,10,103,44.000,1.853,>43
2,10,97,45.000,1.895,>43
2,10,96,43.000,1.811,40-43
2,10,81,42.000,1.768,40-43
2,10,114,42.000,1.768,40-43
2,10,143,47.000,1.979,>43
2,10,52,30.000,1.263,30-34
2,10,83,43.000,1.811,40-43
2,10,76,37.000,1.558,35-39
2,10,141,45.000,1.895,>43
2,10,99,40.000,1.684,40-43
2,10,154,48.000,2.021,>43
2,10,109,42.000,1.768,40-43
1,0,163,46.000,1.937,>43
1,0,102,39.000,1.642,35-39
1,0,144,48.000,2.021,>43
1,0,115,43.000,1.811,40-43
1,0,108,43.000,1.811,40-43
1,0,68,34.000,1.432,30-34
1,0,107,42.000,1.768,40-43
1,0,141,42.000,1.768,40-43
1,0,111,42.000,1.768,40-43
1,0,55,32.000,1.347,30-34
1,0,112,42.000,1.768,40-43
1,0,100,39.000,1.642,35-39
2,0,116,43.000,1.811,40-43
2,0,71,35.000,1.474,35-39
2,0,146,46.000,1.937,>43
2,0,119,45.000,1.895,>43
2,0,97,42.000,1.768,40-43
2,0,43,30.000,1.263,30-34
2,0,127,45.000,1.895,>43
2,0,106,43.000,1.811,40-43
2,0,79,35.000,1.474,35-39
2,0,127,45.000,1.895,>43
2,0,114,44.000,1.853,>43
2,0,85,40.000,1.684,40-43
